"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"2",1,1,"X3",0.180278496976106,0.175871392121139,0.156973125120942,32.3103004172343,4537.21672448261,4003.13806504018,4546.9260503711,326428710374.274,1754793374.53694,0.837349922443762,9385523.59638534
"3",2,1,"X4",0.170265092789278,0.165804152427931,0.139091793746536,34.9526642686908,4539.49934692954,4005.37302154212,4549.20867281803,330416238581.237,1776229258.86935,0.847578668656113,9500173.56095127
"5",3,1,"X6",0.0773564798925145,0.0723960308596785,-0.00295510535363586,59.4696372807575,4559.45304282475,4024.91702233425,4569.16236871324,367414217258.966,1975120489.30216,0.942485316238829,10563944.5800514
"4",4,1,"X5",0.017262476547874,0.0119789414755507,-0.0106432016174571,75.3274034474388,4571.31567879649,4036.54329708454,4581.02500468498,391344793607.951,2103764862.45764,1.00387166374142,11251999.8333439
"11",5,1,"R",0.00815660141924949,0.00282411002903038,-0.0133364446550475,77.7302861062059,4573.04963321748,4038.24321801838,4582.75895910597,394970926464.172,2123257982.11612,1.01317336414163,11356258.9086154
"6",6,1,"V1",0.00641604273369996,0.00107419350108551,-0.014239593805331,78.1895893827165,4573.37926010183,4038.56639061094,4583.08858599032,395664050073.787,2126984029.11882,1.01495135419676,11376187.6948603
"8",7,1,"Z1",0.00635552606044158,0.00101335146936865,-0.0143502235509332,78.2055586841493,4573.39071035526,4038.57761675114,4583.10003624375,395688148965.343,2127113578.30948,1.01501317230385,11376880.5895358
"10",8,1,"E2",0.00607219776492686,0.000728499903447921,-0.0125515217530352,78.2803241117896,4573.44430913056,4038.63016652982,4583.15363501905,395800975687.317,2127720104.56743,1.01530259368099,11380124.5991089
"7",9,1,"V2",0.00447265755838803,-0.000879639981620661,-0.017070457928863,78.702415055274,4573.74661664871,4038.92655997651,4583.4559425372,396437943053.533,2131144270.6365,1.01693653260165,11398438.7732478
"1",10,1,"X2",0.00395256590587467,-0.00140252782581407,-0.015204245702598,78.8396582301629,4573.84480752163,4039.02283083699,4583.55413341012,396645053452.346,2132257640.70501,1.01746780902088,11404393.6401861
"12",11,1,"O",0.00103936150363685,-0.00433139461731136,-0.0219849216621464,79.6084023915644,4574.39386075547,4039.56115615126,4584.10318664396,397805146914.053,2138493992.64266,1.02044366298016,11437748.8084444
"9",12,1,"E1",3.89503351432234e-05,-0.00533718434047437,-0.0211154610859188,79.8723935636873,4574.58203952855,4039.7456613187,4584.29136541704,398203529689.631,2140635591.81239,1.02146558836733,11449203.1653124
"24",13,2,"X3 X4",0.276117651184359,0.268291896062028,0.239789022003788,9.02000833383079,4515.841598864,3982.22535103812,4528.78736671532,289830385077.621,1566205076.53089,0.747359614182634,8378288.02605873
"26",14,2,"X3 X6",0.223410012035636,0.215014444598183,0.172012267373805,22.9286409809986,4529.0549245996,3995.02474316993,4542.00069245092,310933642224.311,1680244287.6565,0.801776690276722,8988331.60936213
"35",15,2,"X4 X6",0.223306233960107,0.214909544597514,0.145379227785436,22.9560262168519,4529.08004593133,3995.04908850294,4542.02581378265,310975193229.999,1680468823.79693,0.801883834127673,8989532.74737716
"32",16,2,"X3 R",0.190354527437736,0.181601603410036,0.158262151561595,31.6514105770531,4536.89150505329,4002.62141495472,4549.83727290461,324168505383.513,1751763738.11572,0.835904244645365,9370919.1545002
"28",17,2,"X3 V2",0.185556081499867,0.176751282380947,0.153266378073332,32.9176373120202,4538.00241737897,4003.69867787006,4550.94818523029,326089722880.006,1762145743.42313,0.840858315856894,9426456.85646338
"29",18,2,"X3 Z1",0.183969982174543,0.175148036035889,0.152520582284257,33.3361814398573,4538.36818436313,4004.05338584244,4551.31395221445,326724770521.355,1765577456.9043,0.842495856241418,9444814.53158455
"25",19,2,"X3 X5",0.18383653169545,0.175013142848915,0.150492001458803,33.3713967088442,4538.39892666218,4004.08319909777,4551.3446945135,326778201861.141,1765866192.79924,0.842633634844157,9446359.10102029
"33",20,2,"X3 O",0.182661086146379,0.173824989780394,0.149145572115213,33.6815764209852,4538.66949106879,4004.34558998596,4551.61525892011,327248830598.922,1768409408.26672,0.843847202951576,9459963.82751374
"13",21,2,"X2 X3",0.181159968314381,0.17230764364751,0.151175230159677,34.0776954053028,4539.01445361994,4004.6801394409,4551.96022147126,327849853071.713,1771657254.23615,0.845397005686234,9477337.91817655
"31",22,2,"X3 E2",0.181066248824637,0.172212910974093,0.150335342518099,34.1024263546638,4539.03596973441,4004.70100636118,4551.98173758573,327887376787.889,1771860027.43659,0.845493764726996,9478422.63709532
"41",23,2,"X4 R",0.180992733576429,0.172138600966444,0.140178739832767,34.1218257547851,4539.05284563717,4004.71737310062,4551.99861348849,327916811063.682,1772019086.37086,0.845569664253525,9479273.51006495
"27",24,2,"X3 V1",0.180952368630182,0.1720977996424,0.148743029395667,34.1324773646512,4539.06211102859,4004.72635895473,4552.00787887991,327932972513.031,1772106420.7061,0.845611338333163,9479740.69806362
"30",25,2,"X3 E1",0.180564024518418,0.171705257215915,0.148389076018251,34.234954646473,4539.15122842235,4004.81278800054,4552.09699627367,328088459000.081,1772946649.12206,0.846012277389092,9484235.4323625
"40",26,2,"X4 E2",0.17657919428942,0.167677347741198,0.136128279080368,35.286482294298,4540.06323677364,4005.6973186279,4553.00900462496,329683918374.977,1781568300.61554,0.850126345355247,9530356.26325182
"14",27,2,"X2 X4",0.1760696010882,0.167162245424289,0.13199967062843,35.4209551098089,4540.17954897788,4005.81013098266,4553.1253168292,329887950969.478,1782670865.77689,0.850652465903534,9536254.3468602
"37",28,2,"X4 V2",0.175718442226111,0.166807290250177,0.135361702180652,35.5136198485921,4540.25965744549,4005.88782956924,4553.20542529681,330028549104.505,1783430639.50721,0.851015013701691,9540318.69529237
"36",29,2,"X4 V1",0.173577866568397,0.164643573234001,0.133246836162781,36.0784806725159,4540.74724156051,4006.36075627727,4553.69300941183,330885599795.378,1788062028.11241,0.85322501343479,9565093.93595302
"39",30,2,"X4 E1",0.172934519382436,0.163993270943328,0.132389459069574,36.2482488468949,4540.89353751827,4006.5026578971,4553.83930536959,331143185248.25,1789453985.83906,0.85388922593489,9572540.10180241
"38",31,2,"X4 Z1",0.171495117848682,0.162538308311911,0.132563398168892,36.6280819695333,4541.22044305199,4006.81974992854,4554.16621090331,331719497547.468,1792568301.29795,0.855375310761631,9589199.8817441
"34",32,2,"X4 X5",0.171469293396154,0.162512204676112,0.120299973082362,36.6348965950664,4541.22630291054,4006.82543395173,4554.17207076186,331729837226.33,1792624175.5553,0.855401972763971,9589498.77658766
"42",33,2,"X4 O",0.171066852574424,0.162105413142796,0.13153699124191,36.7410937543789,4541.3175976628,4006.91398958122,4554.26336551412,331890967800.274,1793494903.87051,0.855817465720459,9594156.66764331
"51",34,2,"X6 V1",0.0855139301449862,0.0756275942546618,-0.00997188937729332,59.3170275123892,4559.78347010105,4024.83929999902,4572.72923795237,366144927014.515,1978598770.04472,0.944145077525987,10584354.9046326
"55",35,2,"X6 E2",0.0846735139070725,0.0747780924357978,-0.00702105724701552,59.538798794743,4559.95616348795,4025.00706840311,4572.90193133927,366481415619.685,1980417109.97299,0.945012750506752,10594081.967759
"43",36,2,"X5 X6",0.0844046976055345,0.0745063700120809,-0.00971979943286994,59.6097347586384,4560.01136788321,4025.060698966,4572.95713573453,366589045170.699,1980998725.83475,0.945290285174826,10597193.2750095
"53",37,2,"X6 Z1",0.0831864761603973,0.0732749786053747,-0.00408241992294678,59.9312022885254,4560.26134011883,4025.30354786744,4573.20710797015,367076800661.811,1983634492.01255,0.946548016504671,10611293.0940803
"52",38,2,"X6 V2",0.0828241855787546,0.0729087713687953,-0.0138896572077432,60.026804495207,4560.33561604706,4025.37570819305,4573.28138389838,367221855751.163,1984418350.53469,0.946922057051124,10615486.2821683
"16",39,2,"X2 X6",0.0812371620998322,0.07130459087929,-0.00997704357427676,60.4455924911648,4560.6606383325,4025.69147826334,4573.60640618382,367857273408.156,1987852063.53146,0.948560551561795,10633854.6535373
"57",40,2,"X6 O",0.0810617245660932,0.0711272567235646,-0.0115564241238895,60.4918874163163,4560.69653345843,4025.72635212355,4573.64230130975,367927515662.362,1988231643.38502,0.948741678961493,10635885.1854195
"56",41,2,"X6 R",0.0808007688457022,0.0708634798602504,-0.00878818444777596,60.560749109056,4560.74991322527,4025.77821336107,4573.69568107659,368031997968.158,1988796251.94979,0.949011098110653,10638905.5135033
"54",42,2,"X6 E1",0.0775321060404714,0.067559480159828,-0.012836551026038,61.4232925835823,4561.417253424,4026.42658934507,4574.36302127532,369340715884.928,1995868390.51954,0.952385771601459,10676737.3496948
"15",43,2,"X2 X5",0.0474638479067663,0.0371661597760288,0.009465139689941,69.3577848787479,4567.44744539754,4032.28711332412,4580.39321324886,381379543531.11,2060924623.21882,0.983429216485447,11024750.4315143
"49",44,2,"X5 R",0.0260126039180454,0.0154830104468893,-0.0117106897982855,75.0183964576885,4571.63426216548,4036.35794265146,4584.5800300168,389968262838.629,2107336926.66565,1.00557617649542,11273029.3140548
"48",45,2,"X5 E2",0.0248526397958919,0.0143105061720639,-0.0108607661404785,75.3244908895298,4571.85802635623,4036.5755501367,4584.80379420755,390432693072.009,2109846646.23497,1.00677376107559,11286454.8569365
"46",46,2,"X5 Z1",0.0208843645345136,0.0102993306375895,-0.0178704080785825,76.3716499682664,4572.62152315902,4037.31807227627,4585.56729101034,392021524114.762,2118432479.09802,1.01087073715626,11332384.0789446
"44",47,2,"X5 V1",0.0199788606443071,0.00938403751613759,-0.018945365536108,76.6105967542138,4572.79530861971,4037.48709053415,4585.74107647103,392384072727.278,2120391643.86006,1.0118056087402,11342864.4731872
"45",48,2,"X5 V2",0.0185261827042533,0.00791565494970481,-0.0213438765099285,76.9939332904195,4573.07377326907,4037.75792188898,4586.01954112039,392965700677.522,2123534684.3942,1.01330540055939,11359677.9156075
"50",49,2,"X5 O",0.0179551957584554,0.00733849517206042,-0.0214804764949863,77.1446068512865,4573.1831132546,4037.86426646385,4586.12888110592,393194314300.503,2124770082.18309,1.01389490600073,11366286.576668
"47",50,2,"X5 E1",0.0175207915798656,0.00689939473208045,-0.0214504767164638,77.2592385866096,4573.26625602749,4037.94513219792,4586.21202387881,393368242467.927,2125709967.00123,1.01434339896349,11371314.4148711
"71",51,2,"Z1 R",0.0163650553637768,0.0057311640704123,-0.0146786375051275,77.5642173473021,4573.48727924052,4038.16010512377,4586.43304709184,393830979918.433,2128210538.99574,1.01553661851632,11384691.0235374
"62",52,2,"V1 R",0.0149378829416216,0.0042885627572069,-0.0166196623723627,77.9408234192969,4573.75985389671,4038.42522412206,4586.70562174803,394402395885.906,2131298395.32532,1.01701007761162,11401209.262496
"76",53,2,"E2 R",0.0143367977832548,0.00368097938091172,-0.0150954687465619,78.0994393769155,4573.87453655915,4038.53677181655,4586.82030441047,394643060329.789,2132598914.15687,1.01763065742377,11408166.2833341
"70",54,2,"Z1 E2",0.0142327908964889,0.00357584809536993,-0.014851920536493,78.1268849920895,4573.89437321645,4038.55606633359,4586.84014106777,394684702947.669,2132823945.35747,1.01773803750687,11409370.0696337
"67",55,2,"V2 R",0.0129019762313993,0.00223064624471181,-0.0194544570398698,78.4780639216933,4574.14800756594,4038.80277179172,4587.09377541726,395217538880.857,2135703320.28324,1.01911201372866,11424773.0540988
"19",56,2,"X2 Z1",0.0112674573284449,0.000578456867130872,-0.0180147194822586,78.9093851370469,4574.45905612352,4039.10533057123,4587.40482397484,395871972911.242,2139239795.24728,1.0207995440555,11443691.1423426
"61",57,2,"V1 E2",0.0111325484387434,0.000442089502946219,-0.0176598950961777,78.944985255322,4574.48470627661,4039.13028100031,4587.43047412793,395925988174.243,2139531686.58606,1.02093882836865,11445252.5915712
"22",58,2,"X2 R",0.0109792062114034,0.000287089521797124,-0.0187743759380401,78.9854496119848,4574.51385690114,4039.15863647859,4587.45962475246,395987383837.324,2139863460.63097,1.02109714385742,11447027.390127
"17",59,2,"X2 V1",0.00983362380795274,-0.000870877556285565,-0.0189731238206672,79.2877489574686,4574.73149120998,4039.37033666101,4587.6772590613,396446055871.079,2142342063.65093,1.02227988028476,11460286.4775317
"59",60,2,"V1 Z1",0.00977061256168595,-0.000934570005214574,-0.0214233156759687,79.3043765334921,4574.74345459075,4039.38197396087,4587.68922244207,396471284520.181,2142478395.93468,1.02234493513902,11461015.7761131
"78",61,2,"R O",0.00955646655646817,-0.0011510311023808,-0.0241736444078144,79.3608859535219,4574.78410688494,4039.42151830472,4587.72987473626,396557024998.944,2142941726.14441,1.02256602642008,11463494.3237864
"66",62,2,"V2 E2",0.00951613973596227,-0.00119179388851376,-0.0199713858598494,79.3715275026655,4574.79176132223,4039.42896414156,4587.73752917355,396573171183.383,2143028977.9901,1.02260766113747,11463961.0705138
"64",63,2,"V2 Z1",0.00907176129144691,-0.00164097642432104,-0.024019703639987,79.488791273931,4574.87608820104,4039.51099326033,4587.82185605236,396751092880.057,2143990443.31224,1.02306645185586,11469104.3518866
"21",64,2,"X2 E2",0.00854752293142327,-0.00217088222607487,-0.0180219767569918,79.6271286930772,4574.97552098224,4039.60771746158,4587.92128883356,396960989151.194,2145124695.00677,1.02360769254107,11475171.9400544
"73",65,2,"E1 E2",0.00827133615320447,-0.00245005480730121,-0.0220291175787581,79.7000095980522,4575.02788444372,4039.65865486955,4587.97365229504,397071569717.795,2145722257.76655,1.02389283672831,11478368.5539526
"74",66,2,"E1 R",0.00821900546835424,-0.00250295122928512,-0.023652268822604,79.7138187589919,4575.03780440424,4039.66830469904,4587.98357225556,397092522048.746,2145835481.39247,1.02394686462456,11478974.2346285
"18",67,2,"X2 V2",0.00813683505820285,-0.00258600996819491,-0.0214703085517074,79.7355021063723,4575.05337981583,4039.68345599283,4587.99914766715,397125421706.618,2146013266.79327,1.02403170002099,11479925.2833239
"63",68,2,"V1 O",0.00745540423733684,-0.00327480760874588,-0.0251789251014833,79.9153198920852,4575.18249541586,4039.80905658807,4588.12826326718,397398255209.933,2147487622.96827,1.02473523130091,11487812.2330422
"72",69,2,"Z1 O",0.00710000591914982,-0.00363404807091339,-0.026505003181901,80.0091033498709,4575.24980012421,4039.87452958454,4588.19556797553,397540550752.275,2148256569.26326,1.02510215605104,11491925.649371
"77",70,2,"E2 O",0.00697113881917874,-0.00376430832872199,-0.0246281638235526,80.043109144529,4575.27419879767,4039.89826433968,4588.21996664899,397592146983.72,2148535388.4754,1.02523520262452,11493417.17031
"69",71,2,"Z1 E1",0.00681701185220975,-0.00392010153317157,-0.0239729782615614,80.0837805803819,4575.30337581608,4039.92664748265,4588.2491436674,397653856843.424,2148868860.39731,1.02539432830393,11495201.0515221
"58",72,2,"V1 V2",0.00670796187245806,-0.00403033043162337,-0.0266936407810268,80.1125569804075,4575.32401679665,4039.94672688869,4588.26978464797,397697518631.387,2149104802.92604,1.02550691503979,11496463.2070935
"60",73,2,"V1 E1",0.00643277855351674,-0.00430848870536393,-0.0247505156394181,80.1851730898671,4575.37609342366,4039.99738684237,4588.32186127498,397807697429.676,2149700194.58299,1.02579102322313,11499648.2068519
"68",74,2,"V2 O",0.00573748282657652,-0.00501130114286585,-0.0282461929007976,80.3686495840403,4575.50760931706,4040.12532607029,4588.45337716838,398086082209.484,2151204549.12211,1.02650886908175,11507695.6304051
"23",75,2,"X2 O",0.00525339188609124,-0.00550062549892383,-0.0266373853340083,80.4963927948496,4575.59912131412,4040.21435021833,4588.54488916544,398279904125.329,2152251937.12615,1.02700866026895,11513298.5482505
"65",76,2,"V2 E1",0.00454766759238836,-0.00621397924445066,-0.0275911876664903,80.682621207084,4575.73245087236,4040.34405637067,4588.67821872368,398562464328.844,2153778855.10286,1.02773727291813,11521466.6730975
"20",77,2,"X2 E1",0.00395317612937023,-0.006814897642204,-0.0256446442028335,80.8394972027564,4575.84469234433,4040.45324872604,4588.79046019565,398800488767.393,2155065107.69468,1.02835104518535,11528347.377834
"75",78,2,"E1 O",0.00106413163280796,-0.00973517505224275,-0.0325450759308443,81.6018659836958,4576.38919906827,4040.9829790345,4589.33496691959,399957213862.727,2161315897.15548,1.03133378842234,11561785.4730603
"135",79,3,"X3 X4 X6",0.310100252974492,0.298851887533859,0.251098666154994,2.05258857594188,4508.80207294493,3975.54039914082,4524.98428275908,277733742213.297,1508649638.2387,0.71989538820053,8072237.36307139
"141",80,3,"X3 X4 R",0.287924754027823,0.276314831539146,0.243025969506736,7.9043184883098,4514.74988449968,3981.23306912309,4530.93209431383,286660958572.571,1557142275.91236,0.743035039275316,8331703.88978608
"137",81,3,"X3 X4 V2",0.28203113770543,0.270325123646279,0.238261295038189,9.45954171051136,4516.29949564159,3982.71685876773,4532.48170545574,289033558538.646,1570030238.50552,0.749184899785639,8400662.70602909
"139",82,3,"X3 X4 E1",0.278634611552344,0.266873219349393,0.234608007029508,10.3558261069054,4517.18677821924,3983.56657614765,4533.36898803339,290400902015.852,1577457648.03019,0.752729100988859,8440404.08212873
"79",83,3,"X2 X3 X4",0.278322508255683,0.266556027412026,0.233131134802372,10.4381847587314,4517.26810001708,3983.64445950068,4533.45030983123,290526545802.377,1578140145.05621,0.75305477399407,8444055.87632536
"142",84,3,"X3 X4 O",0.277913773669866,0.266140628675353,0.233726967508272,10.5460427333274,4517.37454694219,3983.74640678659,4533.55675675634,290691090559.177,1579033952.14585,0.753481279648835,8448838.31407727
"140",85,3,"X3 X4 E2",0.277685367360999,0.26590849835058,0.23357936029984,10.6063152003861,4517.43400465597,3983.80335171689,4533.61621447012,290783040352.144,1579533423.40487,0.753719616666784,8451510.80373733
"138",86,3,"X3 X4 Z1",0.277006445922532,0.265218507540835,0.233793622469975,10.7854708035668,4517.61062752574,3983.97251259703,4533.79283733989,291056354543.934,1581018066.04599,0.754428056428662,8459454.58836083
"136",87,3,"X3 X4 V1",0.276493188058823,0.264696881342391,0.231704218946903,10.9209106600069,4517.74404260767,3984.10029351211,4533.92625242182,291262977358.079,1582140441.13563,0.754963629851663,8465460.01063006
"134",88,3,"X3 X4 X5",0.276124346278948,0.264322025837843,0.226080097555766,11.0182416143823,4517.83986006818,3984.19206582808,4534.02206988233,291411462421.671,1582947011.97462,0.755348508230663,8469775.67882592
"191",89,3,"X4 X6 E2",0.230653173104595,0.218109474839996,0.141233583105253,23.0172962852485,4529.29324296799,3995.16964699384,4545.47545278214,309716845403.751,1682381849.07311,0.802796688934336,9001815.44927554
"188",90,3,"X4 X6 V2",0.229590607132116,0.217029584422313,0.137709642362559,23.2976890331174,4529.5527157754,3995.41852103242,4545.73492558955,310144603821.054,1684705432.71972,0.803905453427357,9014248.10312236
"152",91,3,"X3 X6 V2",0.229418093514571,0.216854258082743,0.165534319920676,23.3432123874512,4529.59480888812,3995.45889551833,4545.77701870227,310214052828.377,1685082679.71513,0.80408546763697,9016266.61505136
"192",92,3,"X4 X6 R",0.229161213810505,0.216593190122632,0.142680670036421,23.4109984901125,4529.6574697633,3995.51899839729,4545.83967957745,310317465189.11,1685644415.64021,0.804353516023821,9019272.26037
"156",93,3,"X3 X6 R",0.22915444946934,0.216586315493297,0.169908016023538,23.4127834825325,4529.65911951236,3995.52058080526,4545.84132932651,310320188317.786,1685659207.6747,0.804360574466776,9019351.40718476
"90",94,3,"X2 X4 X6",0.228903300217326,0.216331071416522,0.136774116749363,23.4790574181952,4529.72036183163,3995.57932350698,4545.90257164578,310421293763.783,1686208412.43935,0.804622643251486,9022290.00280616
"157",95,3,"X3 X6 O",0.22819799294534,0.215614264569448,0.169146912988368,23.6651757856249,4529.89224320762,3995.74419192405,4546.07445302177,310705230131.21,1687750754.73664,0.805358616057037,9030542.51737502
"187",96,3,"X4 X6 V1",0.227880612055891,0.215291708991585,0.137315725716723,23.7489271027369,4529.96953679037,3995.8183329999,4546.15174660452,310832998524.391,1688444792.62565,0.805689796115592,9034256.06254614
"153",97,3,"X3 X6 Z1",0.226990574207912,0.214387159656954,0.168933518712234,23.983792668138,4530.18612343667,3996.02608975054,4546.36833325082,311191302094.289,1690391097.55352,0.806618531261309,9044670.03472396
"193",98,3,"X4 X6 O",0.226060496083973,0.213441917215777,0.139595769172361,24.2292241685421,4530.41218740686,3996.24294348627,4546.59439722101,311565724724.571,1692424961.21452,0.80758904756455,9055552.50194475
"151",99,3,"X3 X6 V1",0.224893187913525,0.212255576846897,0.162472526413472,24.53725656747,4530.69552816345,3996.51474916756,4546.8777379776,312035649330.128,1694977591.58822,0.808807108264148,9069210.70180399
"155",100,3,"X3 X6 E2",0.224872416381848,0.212234466648943,0.164003851671003,24.5427378147479,4530.70056617314,3996.51958216278,4546.88277598729,312044011349.753,1695023014.07733,0.808828782905898,9069453.74107862
"189",101,3,"X4 X6 Z1",0.224551216213798,0.211908029521632,0.13999070679062,24.6274969733019,4530.77845415561,3996.59430099747,4546.96066396976,312173317274.355,1695725403.83674,0.809163948298645,9073211.97408093
"81",102,3,"X2 X3 X6",0.224442206164974,0.211797242135055,0.164970832198429,24.6562628362477,4530.80488072208,3996.61965247231,4546.98709053623,312217201576.284,1695963783.357,0.80927769791481,9074487.4564867
"190",103,3,"X4 X6 E1",0.224355448025437,0.211709069460635,0.138154531613082,24.6791568059162,4530.82591025481,3996.63982653708,4547.00812006896,312252127901.253,1696153503.14802,0.80936822814737,9075502.57831931
"143",104,3,"X3 X5 X6",0.224240594006258,0.211592342821578,0.163214741951895,24.7094647913734,4530.85374640352,3996.66653041128,4547.03595621767,312298364817.113,1696404662.06673,0.809488075819556,9076846.43865396
"154",105,3,"X3 X6 E1",0.223411511062025,0.210749742220645,0.163367858161518,24.9282454139097,4531.05456170896,3996.85918004783,4547.23677152311,312632129700.634,1698217672.85457,0.810353205848321,9086547.20220457
"179",106,3,"X4 X5 X6",0.223306363124026,0.210642879914092,0.126561119034756,24.9559921327318,4531.08001466699,3996.88359837116,4547.26222448114,312674459228.123,1698447606.84036,0.810462925435799,9087777.49561666
"167",107,3,"X3 V2 R",0.195966454881959,0.182857212298512,0.154921467629537,32.1705201686626,4537.58387621087,4003.12567002067,4553.76608602502,323680717833.921,1758233601.62686,0.838991525340565,9407670.68265736
"171",108,3,"X3 Z1 R",0.195620427794995,0.182505543465566,0.155976197231981,32.2618307209141,4537.6647672365,4003.20333768033,4553.84697705065,323820018360.097,1758990282.06024,0.839352597083483,9411719.40537695
"149",109,3,"X3 X5 R",0.194165462598824,0.181026856010762,0.152743268043003,32.6457708243753,4538.00451526093,4003.52955614156,4554.18672507508,324405745388.502,1762171951.17422,0.840870821636009,9428743.36352324
"178",110,3,"X3 R O",0.19334516963582,0.18019318870597,0.15137052138337,32.8622319231789,4538.1957910528,4003.71322114141,4554.37800086695,324735971679.074,1763965740.32579,0.841726779510448,9438341.27906557
"176",111,3,"X3 E2 R",0.191169934220411,0.177982487495744,0.151629690632286,33.4362388565699,4538.7020718682,4004.19937901127,4554.88428168235,325611658725.954,1768722472.20848,0.843996590378702,9463792.82716288
"162",112,3,"X3 V1 R",0.191147045339861,0.177959225426924,0.149962998188368,33.4422788355259,4538.70739195809,4004.20448781356,4554.88960177224,325620873129.174,1768772524.84513,0.844020474427971,9464060.64067864
"80",113,3,"X2 X3 X5",0.190895922325367,0.177704008015455,0.150024101743103,33.5085458475616,4538.76575089613,4004.26052925325,4554.94796071028,325721968012.702,1769321672.23445,0.844282515834399,9466998.92930545
"174",114,3,"X3 E1 R",0.190708101826845,0.177513125226195,0.149908982547799,33.558108422546,4538.80938700795,4004.30243280126,4554.9915968221,325797579128.873,1769732391.80403,0.844478502441553,9469196.54084577
"87",115,3,"X2 X3 R",0.190692697918645,0.177497470167318,0.151953605829332,33.5621732469992,4538.81296533017,4004.30586905728,4554.99517514432,325803780298.083,1769766076.55407,0.844494576084892,9469376.77573329
"168",116,3,"X3 V2 O",0.188310600122648,0.1750765338203,0.145697197216978,34.1907675780915,4539.36550773507,4004.8364934568,4555.54771754922,326762744173.708,1774975168.15567,0.846980243350281,9497248.73671638
"164",117,3,"X3 V2 Z1",0.187788654497782,0.17454607821242,0.146740497595783,34.3284999841584,4539.48635967892,4004.9525565286,4555.66856949307,326972864429.949,1776116541.35015,0.847524882263184,9503355.81095825
